id,origin_url,jumlah_suara_pasangan01_anies_imin,jumlah_suara_pasangan02_prabowo_gibran,jumlah_suara_pasangan03_ganjar_mahfud,image_urls,suara_sah,suara_tidak_sah,suara_total,pemilih_dpt_total,pemilih_dpt_lelaki,pemilih_dpt_perempuan,pengguna_dpt_total,pengguna_dpt_lelaki,pengguna_dpt_perempuan,pengguna_dptb_total,pengguna_dptb_lelaki,pengguna_dptb_perempuan,pengguna_total,pengguna_total_lelaki,pengguna_total_perempuan,pengguna_non_dpt_total,pengguna_non_dpt_lelaki,pengguna_non_dpt_perempuan,psu,status_suara,status_adm,ts,lastupdated,tps_id,nama_tps,kelurahan_id,nama_kelurahan,kecamatan_id,nama_kecamatan,kota_id,nama_kota,provinsi_id,nama_provinsi
3374111005011,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005011,46,131,83,"https://sirekap-obj-formc.kpu.go.id/58c9/pemilu/ppwp/33/74/11/10/05/3374111005011-20240214-155521--75a4a619-3e08-4167-8ebe-ffa7f889b827.jpg, https://sirekap-obj-formc.kpu.go.id/58c9/pemilu/ppwp/33/74/11/10/05/3374111005011-20240214-223711--fb291f0d-3348-471d-b774-b6e1c295237c.jpg, https://sirekap-obj-formc.kpu.go.id/58c9/pemilu/ppwp/33/74/11/10/05/3374111005011-20240214-223721--d39f1dd3-990e-4ec1-a26b-08db0d7c718a.jpg",260,5,265,299,146,153,257,122,135,4,1,3,265,123,142,4,,4,,True,True,2024-02-15 05:00:24,2024-03-11 13:38:29.774,48049011,TPS 011,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005012,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005012,50,106,81,"https://sirekap-obj-formc.kpu.go.id/0b81/pemilu/ppwp/33/74/11/10/05/3374111005012-20240214-221555--58102d40-4ec4-40d3-8cf4-76141f1a1431.jpg, https://sirekap-obj-formc.kpu.go.id/0b81/pemilu/ppwp/33/74/11/10/05/3374111005012-20240214-221708--9187516e-fc45-4175-afe3-71a0324d9014.jpg, https://sirekap-obj-formc.kpu.go.id/0b81/pemilu/ppwp/33/74/11/10/05/3374111005012-20240214-221822--87d77c96-c940-4087-aa8c-e8c073048b4d.jpg",237,1,238,287,129,158,228,98,130,5,1,4,238,100,138,5,1,4,,True,True,2024-02-16 13:30:32,2024-03-11 13:38:29.774,48049012,TPS 012,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005013,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005013,54,108,78,"https://sirekap-obj-formc.kpu.go.id/e699/pemilu/ppwp/33/74/11/10/05/3374111005013-20240214-191637--be563b4e-46c9-4b16-a2b8-d28dddf85ba9.jpg, https://sirekap-obj-formc.kpu.go.id/e699/pemilu/ppwp/33/74/11/10/05/3374111005013-20240214-191738--227cdcf8-bba4-4d8d-8b66-bd5e2b2ebb3d.jpg, https://sirekap-obj-formc.kpu.go.id/e699/pemilu/ppwp/33/74/11/10/05/3374111005013-20240214-191349--720f0b0b-4492-4941-9aa5-087f6471a9e4.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-16 12:51:22,2024-03-11 13:38:29.774,48049013,TPS 013,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005014,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005014,68,107,71,"https://sirekap-obj-formc.kpu.go.id/3423/pemilu/ppwp/33/74/11/10/05/3374111005014-20240214-192149--badcfe8f-a0bb-4d05-a893-cf7ab4d08c71.jpg, https://sirekap-obj-formc.kpu.go.id/3423/pemilu/ppwp/33/74/11/10/05/3374111005014-20240214-210654--909828b4-76f0-444d-b0cf-ddd556a9652e.jpg, https://sirekap-obj-formc.kpu.go.id/3423/pemilu/ppwp/33/74/11/10/05/3374111005014-20240214-210811--ba1b02ac-2e59-4666-b1e4-e35cbf77d178.jpg",246,3,249,298,142,156,239,106,133,3,2,1,249,111,138,7,3,4,,True,True,2024-02-15 00:41:44,2024-03-11 13:38:29.774,48049014,TPS 014,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005015,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005015,27,134,72,"https://sirekap-obj-formc.kpu.go.id/8da0/pemilu/ppwp/33/74/11/10/05/3374111005015-20240215-020509--98d5779a-1cc3-4efc-bf59-cd9af537c5c4.jpg, https://sirekap-obj-formc.kpu.go.id/8da0/pemilu/ppwp/33/74/11/10/05/3374111005015-20240215-020819--b0331f2f-8cb4-46da-bd63-f147834796a3.jpg, https://sirekap-obj-formc.kpu.go.id/8da0/pemilu/ppwp/33/74/11/10/05/3374111005015-20240215-020922--aa1afe56-d441-4511-85f2-bcf29d77955d.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-16 12:51:22,2024-03-11 13:38:29.774,48049015,TPS 015,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005016,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005016,14,107,104,"https://sirekap-obj-formc.kpu.go.id/9df8/pemilu/ppwp/33/74/11/10/05/3374111005016-20240214-195256--5e798409-1f29-4f4b-bbfc-9f38dcdf2879.jpg, https://sirekap-obj-formc.kpu.go.id/9df8/pemilu/ppwp/33/74/11/10/05/3374111005016-20240214-195356--78a71fcc-a951-4b22-ac68-a09181178e52.jpg, https://sirekap-obj-formc.kpu.go.id/9df8/pemilu/ppwp/33/74/11/10/05/3374111005016-20240214-195452--3c811358-8c16-4d88-ac39-b8b3557e1d27.jpg",225,6,231,273,134,139,227,107,120,1,1,,231,109,122,3,1,2,,True,True,2024-02-14 21:46:01,2024-03-11 13:38:29.774,48049016,TPS 016,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005017,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005017,13,120,85,"https://sirekap-obj-formc.kpu.go.id/4ad6/pemilu/ppwp/33/74/11/10/05/3374111005017-20240214-214901--6e54753f-d31c-41ae-8fc7-efaa5101fc72.jpg, https://sirekap-obj-formc.kpu.go.id/4ad6/pemilu/ppwp/33/74/11/10/05/3374111005017-20240220-170511--ea317510-5c3e-43f1-bf39-bb3b44df7439.jpg, https://sirekap-obj-formc.kpu.go.id/4ad6/pemilu/ppwp/33/74/11/10/05/3374111005017-20240220-170617--7de78f7f-20a0-4d1e-b5db-d1695c4213c8.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-22 15:00:00,2024-03-11 13:38:29.774,48049017,TPS 017,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005018,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005018,28,106,86,"https://sirekap-obj-formc.kpu.go.id/cf3f/pemilu/ppwp/33/74/11/10/05/3374111005018-20240214-190825--91d31100-9267-473a-880c-d3f688ffeb1d.jpg, https://sirekap-obj-formc.kpu.go.id/cf3f/pemilu/ppwp/33/74/11/10/05/3374111005018-20240214-214632--d2e563a5-e0bf-49d8-b4c8-c05c3d83f3c7.jpg, https://sirekap-obj-formc.kpu.go.id/cf3f/pemilu/ppwp/33/74/11/10/05/3374111005018-20240215-024644--fbc1bb81-7077-44ff-8b24-e3e7416c01d3.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-15 18:00:26,2024-03-11 13:38:29.774,48049018,TPS 018,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005019,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005019,42,121,96,"https://sirekap-obj-formc.kpu.go.id/74ac/pemilu/ppwp/33/74/11/10/05/3374111005019-20240220-171050--40dd5fde-1ec4-437a-a0d5-d2c59145e9a2.jpg, https://sirekap-obj-formc.kpu.go.id/74ac/pemilu/ppwp/33/74/11/10/05/3374111005019-20240220-171223--341b0866-25f1-40e7-90e5-b222a049955e.jpg, https://sirekap-obj-formc.kpu.go.id/74ac/pemilu/ppwp/33/74/11/10/05/3374111005019-20240220-171308--b45593d2-32f0-43d8-b5e1-bb1258dd2480.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-24 22:31:28,2024-03-11 13:38:29.774,48049019,TPS 019,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
3374111005020,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/33/3374/337411/3374111005/3374111005020,36,132,80,"https://sirekap-obj-formc.kpu.go.id/6071/pemilu/ppwp/33/74/11/10/05/3374111005020-20240214-204857--068def1a-0ea4-4b52-b865-f3684827746d.jpg, https://sirekap-obj-formc.kpu.go.id/6071/pemilu/ppwp/33/74/11/10/05/3374111005020-20240214-205708--6be1bf11-716d-4007-b3b0-0e67141ccfe3.jpg, https://sirekap-obj-formc.kpu.go.id/6071/pemilu/ppwp/33/74/11/10/05/3374111005020-20240214-201924--e8cf0d3f-a391-4af6-9a61-3b9d8f36ba39.jpg",,,,,,,,,,,,,,,,,,,,True,False,2024-02-15 09:00:24,2024-03-11 13:38:29.774,48049020,TPS 020,143457,BANYUMANIK,143452,BANYUMANIK,191324,KOTA SEMARANG,191097,JAWA TENGAH
