provinsi,kab_kota,kecamatan,desa_kelurahan,tps,suara_A,suara_B,suara_C,suara_sah
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004007,38,119,70,227
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004008,46,109,117,272
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004009,54,117,93,264
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004010,57,104,89,250
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004011,41,94,52,187
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004012,42,101,70,213
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004013,40,118,75,233
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004014,92,89,53,234
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004015,116,96,47,259
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004016,94,77,44,215
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,BULUSAN,3374101004017,88,85,58,231
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007001,21,98,85,204
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007002,34,105,74,213
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007003,41,119,63,223
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007004,39,118,77,234
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007005,42,120,92,254
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007006,38,103,50,191
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007007,65,77,72,214
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007008,57,104,86,247
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007009,25,77,88,190
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007010,19,118,122,259
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007011,18,127,117,262
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007012,28,107,120,255
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007013,32,117,95,244
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007014,18,123,84,225
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007015,26,119,106,251
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007016,33,122,80,235
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007017,9,97,98,204
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007018,4,145,92,241
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007019,12,108,102,222
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007020,15,105,124,244
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007021,7,73,80,160
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,JANGLI,3374101007022,8,110,110,228
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009001,46,79,92,217
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009002,24,84,83,191
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009003,41,88,88,217
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009004,49,105,86,240
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009005,36,80,81,197
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009006,34,126,79,239
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009007,47,104,73,224
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009008,31,113,65,209
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009009,50,111,70,231
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009010,48,128,47,223
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009011,37,115,70,222
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009012,44,111,63,218
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009013,64,120,56,240
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009014,41,91,82,214
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009015,28,118,78,224
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009016,13,110,68,191
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009017,33,107,90,230
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009018,19,113,75,207
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009020,61,91,74,226
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009021,54,104,75,233
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009023,40,134,70,244
JAWA TENGAH,KOTA SEMARANG,TEMBALANG,KEDUNGMUNDU,3374101009024,37,98,82,217
