provinsi,kab_kota,kecamatan,desa_kelurahan,tps,suara_A,suara_B,suara_C,suara_sah
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005013,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005014,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005015,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005016,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005017,20.0,140.0,57.0,217.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005018,17.0,80.0,102.0,199.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005019,13.0,89.0,105.0,207.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005020,15.0,98.0,128.0,241.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005021,6.0,95.0,120.0,221.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005022,8.0,77.0,111.0,196.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005023,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005024,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005025,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005026,40.0,108.0,72.0,220.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005027,43.0,98.0,85.0,226.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005028,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005029,24.0,129.0,94.0,247.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005030,30.0,120.0,78.0,228.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005031,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005032,18.0,107.0,103.0,228.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005033,25.0,123.0,98.0,246.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005034,21.0,130.0,88.0,239.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005035,23.0,119.0,94.0,236.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005036,11.0,126.0,83.0,220.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005037,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,KUNINGAN,3374021005038,37.0,74.0,68.0,179.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007001,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007002,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007003,,,,
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007004,26.0,86.0,105.0,217.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007005,13.0,103.0,77.0,193.0
JAWA TENGAH,KOTA SEMARANG,SEMARANG UTARA,PANGGUNG KIDUL,3374021007006,16.0,103.0,98.0,217.0
